Date,Adj Close,Close,High,Low,Open,Volume
2021-04-15,419.8542175292969,421.1499938964844,430.1499938964844,421.1499938964844,428.3999938964844,16406575.0
2021-04-16,426.13482666015625,427.45001220703125,429.70001220703125,423.29998779296875,424.3500061035156,26675355.0
2021-04-19,426.7828369140625,428.1000061035156,430.70001220703125,426.0,426.0,14652396.0
2021-04-20,415.9662170410156,417.25,427.8500061035156,416.6499938964844,427.45001220703125,15849093.0
2021-04-21,414.570556640625,415.8500061035156,419.45001220703125,413.45001220703125,417.1000061035156,17988868.0
2021-04-22,414.2215881347656,415.5,416.1000061035156,412.1499938964844,414.70001220703125,20981752.0
2021-04-23,417.71087646484375,419.0,419.0249938964844,412.3999938964844,414.20001220703125,16694407.0
2021-04-26,421.44927978515625,422.75,424.3500061035156,414.95001220703125,419.0,26820836.0
2021-04-27,439.04498291015625,440.3999938964844,441.04998779296875,422.0,423.3500061035156,42467373.0
2021-04-28,441.9859313964844,443.3500061035156,445.0,439.3999938964844,439.8500061035156,27305438.0
2021-04-29,452.9021911621094,454.29998779296875,458.95001220703125,444.0,444.8500061035156,39604013.0
2021-04-30,451.40679931640625,452.79998779296875,457.0,448.95001220703125,450.3999938964844,43602212.0
2021-05-03,451.40679931640625,452.79998779296875,457.0,448.95001220703125,450.3999938964844,43602212.0
2021-05-04,439.842529296875,441.20001220703125,449.95001220703125,439.70001220703125,445.0,25192150.0
2021-05-05,453.0019836425781,454.3999938964844,455.04998779296875,444.20001220703125,446.0,24038092.0
2021-05-06,453.7496337890625,455.1499938964844,456.8500061035156,451.95001220703125,454.6000061035156,28433897.0
2021-05-07,449.8117980957031,451.20001220703125,456.6499938964844,447.79998779296875,455.5,13250579.0
2021-05-10,453.0019836425781,454.3999938964844,455.79998779296875,448.8500061035156,449.6000061035156,24292352.0
2021-05-11,438.6462707519531,440.0,446.31298828125,437.3500061035156,445.0,26077793.0
2021-05-12,442.5342102050781,443.8999938964844,445.0,435.45001220703125,436.95001220703125,21222905.0
2021-05-13,442.3846740722656,443.75,445.0,432.25,438.5,14556496.0
2021-05-14,447.4191589355469,448.79998779296875,448.95001220703125,444.54998779296875,445.29998779296875,26648183.0
2021-05-17,442.0357360839844,443.3999938964844,445.54998779296875,438.79998779296875,443.1000061035156,17414188.0
2021-05-18,445.3256530761719,446.70001220703125,448.75,445.0,446.5,12363616.0
2021-05-19,441.93597412109375,443.29998779296875,446.0260009765625,437.8999938964844,439.6000061035156,17759870.0
2021-05-20,444.5780334472656,445.95001220703125,446.25,439.1000061035156,443.3500061035156,14884638.0
2021-05-21,443.08258056640625,444.45001220703125,445.7860107421875,438.3739929199219,442.5,25976940.0
2021-05-24,445.176025390625,446.54998779296875,446.8999938964844,442.1499938964844,444.0,8302302.0
2021-05-25,448.5656433105469,449.95001220703125,452.95001220703125,445.0,446.6499938964844,16887707.0
2021-05-26,445.4751892089844,446.8500061035156,449.70001220703125,439.9750061035156,448.1000061035156,13881888.0
2021-05-27,448.8148498535156,450.20001220703125,452.04998779296875,444.7760009765625,445.25,31335939.0
2021-05-28,453.8990783691406,455.29998779296875,462.54998779296875,453.8999938964844,459.8999938964844,25724503.0
2021-05-31,453.8990783691406,455.29998779296875,462.54998779296875,453.8999938964844,459.8999938964844,25724503.0
2021-06-01,444.9268493652344,446.29998779296875,454.29998779296875,446.20001220703125,448.79998779296875,29401330.0
2021-06-02,450.3101806640625,451.70001220703125,452.29998779296875,447.1000061035156,447.1000061035156,30451463.0
2021-06-03,447.9176025390625,449.29998779296875,451.8999938964844,444.45001220703125,447.3999938964844,18353108.0
2021-06-04,442.5840759277344,443.95001220703125,447.79998779296875,441.6000061035156,447.1499938964844,13491800.0
2021-06-07,444.1292724609375,445.5,447.25,442.3999938964844,444.6499938964844,12770451.0
2021-06-08,442.9329528808594,444.29998779296875,447.6239929199219,443.5,445.3999938964844,12739911.0
2021-06-09,436.7520751953125,438.1000061035156,442.5,437.75,441.1499938964844,10447701.0
2021-06-10,434.8080139160156,436.1499938964844,440.79998779296875,434.20001220703125,435.5,16203227.0
2021-06-11,435.6055603027344,436.95001220703125,436.95001220703125,432.6000061035156,433.8500061035156,14677283.0
2021-06-14,438.0979309082031,439.45001220703125,441.3500061035156,437.95001220703125,438.29998779296875,20425384.0
2021-06-15,434.8080139160156,436.1499938964844,436.8999938964844,431.79998779296875,433.45001220703125,22796045.0
2021-06-16,436.70220947265625,438.04998779296875,442.29998779296875,435.6000061035156,439.95001220703125,21410009.0
2021-06-17,438.04803466796875,439.3999938964844,450.1000061035156,439.3999938964844,442.45001220703125,26168290.0
2021-06-18,428.0787658691406,429.3999938964844,441.6000061035156,428.75,440.20001220703125,40994082.0
2021-06-21,425.2375793457031,426.54998779296875,427.3999938964844,422.1000061035156,424.8500061035156,16108235.0
2021-06-22,422.4462890625,423.75,427.20001220703125,422.0,424.3500061035156,15405899.0
2021-06-23,419.60498046875,420.8999938964844,427.95001220703125,420.8999938964844,425.1499938964844,15134224.0
2021-06-24,423.2936706542969,424.6000061035156,426.1000061035156,422.1499938964844,422.75,14424278.0
2021-06-25,426.23455810546875,427.54998779296875,429.70001220703125,426.04998779296875,427.0,16595517.0
2021-06-28,419.10650634765625,420.3999938964844,427.54998779296875,419.95001220703125,426.3999938964844,14324818.0
2021-06-29,420.00372314453125,421.29998779296875,424.54998779296875,419.13299560546875,420.0,14806045.0
2021-06-30,416.0160217285156,417.29998779296875,420.54998779296875,414.04998779296875,418.20001220703125,20976997.0
2021-07-01,422.04742431640625,423.3500061035156,424.8999938964844,419.75,419.75,17878406.0
2021-07-02,415.3680725097656,416.6499938964844,421.75,415.70001220703125,419.3999938964844,18873319.0
2021-07-05,421.7981872558594,423.1000061035156,425.1499938964844,417.8999938964844,419.0,9157516.0
2021-07-06,415.218505859375,416.5,423.5,413.7980041503906,422.79998779296875,16569695.0
2021-07-07,416.6640930175781,417.95001220703125,419.1499938964844,413.75,414.8999938964844,15259344.0
2021-07-08,409.336669921875,410.6000061035156,413.75,406.70001220703125,413.29998779296875,17494290.0
2021-07-09,412.8258972167969,414.1000061035156,414.1000061035156,406.79998779296875,408.95001220703125,20736593.0
2021-07-12,411.5797424316406,412.8500061035156,413.8500061035156,405.45001220703125,410.04998779296875,12387291.0
