Date,Adj Close,Close,High,Low,Open,Volume
2021-04-08,43.31607437133789,43.415000915527344,43.720001220703125,43.209999084472656,43.52000045776367,129551520.0
2021-04-09,43.156436920166016,43.255001068115234,43.6349983215332,43.17499923706055,43.630001068115234,158452410.0
2021-04-12,44.28885269165039,44.38999938964844,44.540000915527344,43.060001373291016,43.5,200067947.0
2021-04-13,43.650299072265625,43.75,45.01499938964844,43.67499923706055,44.51499938964844,256620647.0
2021-04-14,43.73012924194336,43.83000183105469,43.994998931884766,43.36000061035156,43.75,132548085.0
2021-04-15,42.7180061340332,42.810001373291016,43.619998931884766,42.78499984741211,43.5,143216883.0
2021-04-16,43.366607666015625,43.459999084472656,43.775001525878906,43.02000045776367,43.13999938964844,214002182.0
2021-04-19,43.660980224609375,43.755001068115234,43.92300033569336,43.27000045776367,43.27000045776367,100797545.0
2021-04-20,41.954647064208984,42.04499816894531,43.915000915527344,42.04499816894531,43.89500045776367,233591142.0
2021-04-21,41.525577545166016,41.6150016784668,42.724998474121094,41.224998474121094,41.994998931884766,167730389.0
2021-04-22,41.88479995727539,41.974998474121094,42.01499938964844,41.40999984741211,41.779998779296875,140802562.0
2021-04-23,42.54337692260742,42.6349983215332,42.665000915527344,41.755001068115234,42.345001220703125,126375282.0
2021-04-26,42.79783248901367,42.88999938964844,42.974998474121094,41.720001220703125,42.814998626708984,200403336.0
2021-04-27,43.48136520385742,43.57500076293945,43.57500076293945,42.65999984741211,42.970001220703125,133293458.0
2021-04-28,45.00807189941406,45.10499954223633,45.72700119018555,44.470001220703125,45.0,469783830.0
2021-04-29,45.35732650756836,45.45500183105469,45.86000061035156,45.0,45.70000076293945,194506124.0
2021-04-30,45.337364196777344,45.435001373291016,45.720001220703125,45.13999938964844,45.45000076293945,195838257.0
2021-05-03,45.337364196777344,45.435001373291016,45.720001220703125,45.13999938964844,45.45000076293945,195838257.0
2021-05-04,44.94819641113281,45.04499816894531,47.45500183105469,44.97600173950195,46.10499954223633,236622072.0
